# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-30 5:51:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|4,586|162|711 serious, 277 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200130_2016304.shtml
Zhejiang|428|0|54 serious|https://www.zjwjw.gov.cn/art/2020/1/30/art_1202101_41861313.html
Guangdong|354|0|37 serious, 13 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2880381.html
Henan|278|2|37 serious, 4 critical|https://m.weibo.cn/status/4466357443624106
Hunan|277|0|38 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202001/t20200130_11165870.html
Anhui|200|0||http://wjw.ah.gov.cn/news_details_54186.html
Chongqing|182|0|18 serious, 4 critical|http://wsjkw.cq.gov.cn/tzgg/20200130/250525.html
Jiangxi|162|0|16 serious|http://hc.jiangxi.gov.cn/doc/2020/01/30/137811.shtml
Shandong|158|0||https://m.weibo.cn/status/4466446031975534
Sichuan|142|1|2 critical|https://m.weibo.cn/status/4466348178337055
Jiangsu|129|0|1 serious|https://m.weibo.cn/status/4466352645245320
Beijing|114|1|14 serious, 2 critical|https://m.weibo.cn/detail/4466389068910927
Shanghai|112|1|4 critical|https://m.weibo.cn/status/4466434329503841
Fujian|101|0|12 serious, 3 critical|https://news.sina.com.cn/c/2020-01-30/doc-iimxyqvy9034154.shtml
Guangxi|78|0|5 serious, 2 critical|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0130/68078.html
Yunnan|70|0|6 serious, 1 critical|https://news.sina.com.cn/c/2020-01-30/doc-iimxxste7591431.shtml
Hebei|65|1|8 serious|https://m.weibo.cn/status/4466358504699180
Shaanxi|63|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/1/30/art_9_67543.html
Hainan|46|1|7 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202001/t20200130_2741859.html
Heilongjiang|43|1|6 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7750/navid/42/stypeid/
Liaoning|41|0|9 serious|https://m.weibo.cn/status/4466405506690436
Shanxi|35|0|3 serious, 2 critical|http://wjw.shanxi.gov.cn/wjywl02/24458.hrh
Tianjin|30|0|13 serious|https://m.weibo.cn/detail/4466494992070337
