# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-2 16:21:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|9,074|294|1,118 serious, 444 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200202_2017658.shtml
Zhejiang|661|0|42 serious, 12 critical|https://www.zjwjw.gov.cn/art/2020/2/2/art_1202101_41867030.html
Guangdong|632|0|55 serious, 18 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2881699.html
Henan|493|2|32 serious, 12 critical|https://m.weibo.cn/status/4467435871051673
Hunan|463|0|44 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200202_11167499.html
Anhui|340|0|4 critical|http://wjw.ah.gov.cn/news_details_54407.html
Jiangxi|333|0| 32 serious |http://hc.jiangxi.gov.cn/doc/2020/02/02/137963.shtml
Chongqing|275|1|26 serious, 6 critical|http://wsjkw.cq.gov.cn/tzgg/20200202/250910.html
Jiangsu|236|0|1 serious|https://m.weibo.cn/status/4467442296554293
Sichuan|232*|1|5 critical|https://m.weibo.cn/status/4467437263052815
Shandong|230|0|15 serious, 1 critical|https://m.weibo.cn/status/4467544591222398
Beijing|191|1|10 critical|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200202_1622729.html
Shanghai|182|1|7 serious, 4 critical|https://m.weibo.cn/status/4467511959723633
Fujian|159|0|7 serious, 5 critical|https://mp.weixin.qq.com/s/dsNlqkI21cT1p6jswceFZw
Shaanxi|116|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/2/2/art_9_67618.html
Guangxi|111|0|6 serious, 2 critical|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0202/68202.html
Yunnan|105|0|7 serious, 3 critical|https://m.weibo.cn/status/4467582167614508
Hebei|104|1|9 serious|http://www.hebwst.gov.cn/index.do?id=396271&amp;templet=content&amp;cid=14
Heilongjiang|95|2|13 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7754/navid/42/stypeid/
Liaoning|70|0|5 serious|https://m.weibo.cn/status/4467643652491923
