# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-4 20:52:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|16,678|479|1,809 serious, 711 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200205_2019293.shtml
Zhejiang|895|0|49 serious, 16 critical|https://www.zjwjw.gov.cn/art/2020/2/5/art_1202101_41877651.html
Guangdong|813|0|60 serious, 26 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2883626.html
Henan|764|2|38 serious, 19 critical|https://m.weibo.cn/status/4468524224936382
Hunan|661|0|57 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200205_11170191.html
Anhui|530|0|5 critical|http://wjw.ah.gov.cn/news_details_54548.html
Jiangxi|476|0| 37 serious |http://hc.jiangxi.gov.cn/doc/2020/02/04/138072.shtml
Chongqing|366|2|24 serious, 10 critical|http://wsjkw.cq.gov.cn/tzgg/20200205/252088.html
Jiangsu|341|0|3 serious|https://m.weibo.cn/status/4468526570239002
Sichuan|302*|1|14 critical|https://m.weibo.cn/status/4468522342120636
Shandong|298|0|21 serious, 4 critical|https://m.weibo.cn/status/4468522950108669
Beijing|228|1|9 critical|https://m.weibo.cn/status/4468277256747197
Shanghai|233|1|8 serious, 7 critical|https://m.weibo.cn/detail/4468511725846726
Fujian|194|0|15 serious, 7 critical|https://mp.weixin.qq.com/s/g-KCNP1tEzclt40OUxnFgg
Shaanxi|142|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/2/4/art_9_67724.html
Guangxi|150|0|10 serious, 4 critical|http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0205/68385.html
Yunnan|122|0|13 serious, 3 critical|https://m.weibo.cn/status/4468501408683388
Hebei|135|1|12 serious|http://www.hebwst.gov.cn/index.do?id=396743&amp;templet=content&amp;cid=14
Heilongjiang|190|2|21 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7759/navid/42/stypeid/
Liaoning|81|0|6 serious|http://wsjk.ln.gov.cn/wst_wsjskx/202002/t20200204_3733940.html
Hainan|80|1|10 serious|https://m.weibo.cn/detail/4468015657466283 http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202002/t20200204_2743793.html https://m.weibo.cn/detail/4468015657466283
Shanxi|81|0|4 serious, 4 critical|http://wjw.shanxi.gov.cn/wjywl02/24697.hrh
Tianjin|67|0|17 serious, 4 critical|https://m.weibo.cn/detail/4468345388281570
Gansu|57|0|7 serious, 3 critical|http://wsjk.gansu.gov.cn/single/10910/83666.html
Guizhou|64|0|6 serious, 2 critical|https://m.weibo.cn/status/4468526477631339
Ningxia|34|0|6 serious|http://wsjkw.nx.gov.cn/info/1140/13484.htm
Inner Mongolia|35|0||http://wjw.nmg.gov.cn/doc/2020/02/04/290542.shtml
Jilin|54|0|3 serious, 2 critical|https://m.weibo.cn/status/4468517891861972
Xinjiang|29|0|8 serious, 2 critical|http://www.xjhfpc.gov.cn/info/1495/17972.htm
Qinghai|17|0|1 serious|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/02/05/1580863223569.html
Tibet|1|0|Stable|http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
Undisclosed|206|0||http://www.nhc.gov.cn/yjb/s7860/202002/17a03704a99646ffad6807bc806f37a4.shtml
CHINA TOTAL|24,324|490|3,219 serious, 892 recovered, 23,260 suspected|
Hong Kong|18|1||https://www.info.gov.hk/gia/general/202002/05/P2020020400729.htm
Taiwan|11|0||https://www.cdc.gov.tw/Bulletin/Detail/UkMLn272PYqss-tXBbIFoQ?typeid=9
Macau|10|0||https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
GREATER CHINA TOTAL|39|1|0 serious|
Japan|33*|0||https://www.mhlw.go.jp/stf/newpage_09276.html
Thailand|25|0|1 serious, 8 recovered|https://www.bbc.com/thai/thailand-51367988
