# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-3 22:45:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|13,522|414|1,567 serious, 576 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200204_2018742.shtml
Zhejiang|829|0|43 serious, 15 critical|https://www.zjwjw.gov.cn/art/2020/2/4/art_1202101_41873518.html
Guangdong|725|0|58 serious, 22 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2882427.html
Henan|675|2|39 serious, 15 critical|https://m.weibo.cn/status/4468161329843481
Hunan|521|0|58 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200203_11168209.html
Anhui|480|0|5 critical|http://wjw.ah.gov.cn/news_details_54495.html
Jiangxi|391|0| 34 serious |http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml
Chongqing|337|2|23 serious, 6 critical|http://wsjkw.cq.gov.cn/tzgg/20200204/251086.html
Jiangsu|308|0|2 serious|https://m.weibo.cn/status/4468164152840902
Sichuan|283*|1|13 critical|https://m.weibo.cn/detail/4468165767943061
Shandong|270|0|20 serious, 2 critical|https://m.weibo.cn/status/4468164513770872
Beijing|212|1|11 critical|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200203_1624239.html
Shanghai|208|1|8 serious, 6 critical|https://m.weibo.cn/status/4468150240796389
Fujian|179|0|13 serious, 7 critical|http://headline.fjtv.net/folder875/2020-02-03/2163617.html
Shaanxi|128|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/2/3/art_9_67666.html
Guangxi|139|0|8 serious, 4 critical|http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0204/68331.html
Yunnan|114|0|7 serious, 3 critical|https://m.weibo.cn/status/4467911324556064
Hebei|126|1|12 serious|http://www.hebwst.gov.cn/index.do?id=396582&amp;templet=content&amp;cid=14
Heilongjiang|155|2|17 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7756/navid/42/stypeid/
Liaoning|74|0|6 serious|https://m.weibo.cn/status/4467970845282103
