# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-26 17:14:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|1,052|52|129 serious/critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200126_2015054.shtml
Guangdong|111|0||http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879290.html
Zhejiang|104|0|14 serious|https://www.zjwjw.gov.cn/art/2020/1/26/art_1202101_41856620.html
Chongqing|75|0|9 serious, 2 critical|http://www.bjnews.com.cn/news/2020/01/26/679561.html
Hunan|69|0|20 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202001/t20200124_11164133.html
Anhui|60|0|All stable|http://wjw.ah.gov.cn/news_details_53996.html
Beijing|68|0||https://m.weibo.cn/status/4465120207479160
Shanghai|40|1|1 critical|https://m.weibo.cn/status/4464891778061760
Henan|83|1|13 serious|http://www.bjnews.com.cn/news/2020/01/24/678758.html
Sichuan|44|0|3 critical|https://m.weibo.cn/detail/4464923968772712
Shandong|46|0||https://m.weibo.cn/status/4464976942649697
Guangxi|36|0|1 serious|https://m.weibo.cn/status/4465038985771179
Jiangxi|48|0|6 serious|http://hc.jiangxi.gov.cn/doc/2020/01/27/137701.shtml
Fujian|35|0|2 serious, 1 critical|http://www.bjnews.com.cn/news/2020/01/26/679890.html
Jiangsu|33|0|Stable|http://www.bjnews.com.cn/news/2020/01/26/679996.html
Hainan|22|0|1 serious|http://www.bjnews.com.cn/news/2020/01/26/679600.html
Liaoning|21|0|12 serious|https://m.weibo.cn/status/4465024079050758
Tianjin|14|0|11 serious|http://www.bjnews.com.cn/news/2020/01/26/679906.html
Shaanxi|22|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/26/art_9_67449.html
Yunnan|16|0|1 serious|http://www.bjnews.com.cn/news/2020/01/26/679936.html
Heilongjiang|16|1|1 serious|http://www.bjnews.com.cn/news/2020/01/26/679950.html
Guizhou|5|0|Stable|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448582&amp;idx=1&amp;sn=0e6ee35bbc50d59095131e03455c11fe
Jilin|4|0|1 serious|https://m.weibo.cn/status/4464541943826172
Xinjiang|4|0|Stable|http://www.xjhfpc.gov.cn/info/1495/17245.htm
Ningxia|4|0||http://wsjkw.nx.gov.cn/info/1140/13242.htm
Hebei|13|1||http://www.hebwst.gov.cn/index.do?id=395078&amp;templet=content&amp;cid=14
Gansu|7|0|1 serious|http://www.bjnews.com.cn/news/2020/01/26/679564.html
Shanxi|9|0||http://wjw.shanxi.gov.cn/wjywl02/24349.hrh
Inner Mongolia|7|0||https://m.weibo.cn/status/4464909008158168
Qinghai|1|0||https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/25/1579942170563.html
Hong Kong|6|0||https://news.rthk.hk/rthk/ch/component/k2/1504936-20200126.htm
Taiwan|4|0||https://www.cdc.gov.tw/Bulletin/Detail/1lqFGlxtUhCpE_quNLIfLg?typeid=9
Macau|5|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452507
CHINA TOTAL|2,084|56||
Thailand|8|0||https://www.channelnewsasia.com/news/asia/wuhan-virus-thailand-public-anger-coronavirus-12348838
Singapore|4|0|Stable|https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|4|0||https://www.mhlw.go.jp/stf/newpage_09100.html
South Korea|3|0||https://en.yna.co.kr/view/AEN20200126000500320?section=news
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|4|0||https://www.sbs.com.au/news/calm-urged-as-china-s-coronavirus-reaches-australia-with-4-confirmed-cases
INTERNATIONAL TOTAL|38|0||
