# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-23 07:56:15 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|64084|2346|湖北省卫健委尚未发布昨日确诊数据，武汉确诊数据及治愈死亡数据来自国家卫健委。|
Guangdong|1339|5||
Zhejiang|1205|1||
Shandong|750|4||
Henan|1270|19|参考卫健委统计口径，部分县区与地级市合并|
Anhui|989|6||
Jiangxi|934|1||
Hunan|1013|4||
Sichuan|526|3||
Heilongjiang|479|12||
Chongqing|573|6||
Jiangsu|631|0||
Beijing|399|4||
Guangxi|249|2||
Fujian|293|1||
Shanghai|335|3|未知治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Hebei|311|6||
Shaanxi|245|1||
Tianjin|135|3||
Yunnan|174|2||
Hong Kong|69|2||
Hainan|168|4||
Guizhou|146|2||
Liaoning|121|1||
Shanxi|132|0||
Inner Mongolia|75|0||
Xinjiang|76|2||
Jilin|91|1||
Ningxia|71|0||
Taiwan|26|1||
Gansu|91|2||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|77029|2444||
