# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-24 10:04:48 CST
# place|confirmed_cases|deaths|notes|sources
Hong Kong|2|0||
Chongqing|27|0||
Hebei|2|1|死亡1例|
Jilin|2|0||
Sichuan|15|0||
Gansu|2|0||
Liaoning|3|0||
Shandong|9|0||
Hubei|549|0|疑似数据待确认，治愈28例，死亡24例|
Hainan|5|0||
Shanxi|1|0||
Hunan|9|0||
Fujian|5|0||
Macau|2|0||
Anhui|15|0||
Henan|9|0||
Guangdong|53|0|治愈2例|
Guangxi|13|0||
Xinjiang|2|0||
Heilongjiang|4|0|绥化死亡1例|
Taiwan|1|0||
Jiangsu|9|0||
Zhejiang|43|0|治愈1例|
Jiangxi|7|0||
Guizhou|3|0||
Inner Mongolia|0|0||
Ningxia|1|0||
Tianjin|5|0||
Beijing|26|0||
Shaanxi|3|0||
Yunnan|2|0||
Shanghai|20|0||
