# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-30 08:59:09 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|4586|162|待明确地区：治愈 30|
Zhejiang|296|0||
Henan|278|1|待明确地区：死亡 1 治愈 2|
Guangdong|277|0||
Hunan|221|0||
Anhui|200|0||
Chongqing|165|0||
Jiangxi|162|0||
Shandong|145|0||
Sichuan|142|1||
Jiangsu|129|0||
Beijing|111|1|待明确地区：死亡 1|
Shanghai|101|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|84|0||
Guangxi|78|0||
Hebei|65|1||
Shaanxi|56|0||
Yunnan|55|0||
Hainan|43|1||
Liaoning|39|0||
Heilongjiang|38|1||
Shanxi|35|0||
Tianjin|27|0||
Gansu|24|0||
Inner Mongolia|16|0||
Xinjiang|13|0||
Guizhou|12|0||
Ningxia|12|0||
Hong Kong|10|0||
Jilin|9|0||
Taiwan|8|0||
Macau|7|0||
Qinghai|6|0||
Tibet|1|0||
CHINA TOTAL|7451|169||
