# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-28 08:18:00 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|1423|76||
Henan|168|1||
Guangdong|151|0||
Zhejiang|128|0||
Chongqing|110|0||
Hunan|100|0||
Beijing|80|1||
Shandong|75|0||
Jiangxi|72|0||
Anhui|70|0||
Sichuan|69|0||
Shanghai|66|1||
Fujian|59|0|福建地区新增疑似 20 例|
Guangxi|51|0||
Jiangsu|47|0||
Shaanxi|35|0||
Hainan|33|1||
Liaoning|27|0||
Yunnan|26|0||
Tianjin|23|0||
Heilongjiang|21|1||
Hebei|18|1||
Gansu|14|0||
Shanxi|13|0||
Inner Mongolia|11|0||
Hong Kong|8|0||
Guizhou|7|0||
Ningxia|7|0||
Jilin|6|0||
Macau|6|0||
Qinghai|6|0||
Taiwan|5|0||
Xinjiang|5|0||
CHINA TOTAL|2940|82||
