# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-24 11:40:43 CST
# place|confirmed_cases|deaths|notes|sources
Zhejiang|43|0|治愈1例|
Heilongjiang|4|0|绥化死亡1例|
Guangdong|53|0|治愈2例|
Anhui|15|0||
Hebei|2|1|沧州死亡1例|
Shaanxi|3|0||
Hong Kong|2|0||
Shanxi|1|0||
Hubei|549|0|疑似数据待确认，治愈28例，死亡24例|
Gansu|2|0||
Jiangsu|9|0||
Shandong|9|0||
Hainan|8|0||
Jiangxi|7|0||
Jilin|3|0||
Sichuan|15|0||
Taiwan|1|0||
Chongqing|27|0||
Ningxia|1|0||
Henan|9|0||
Beijing|26|0||
Liaoning|4|0||
Shanghai|20|0||
Xinjiang|2|0||
Hunan|24|0||
Fujian|5|0||
Tianjin|5|0||
Guangxi|13|0||
Macau|2|0||
Yunnan|2|0||
Guizhou|3|0||
Inner Mongolia|1|0||
