# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-19 18:58:37 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|61682|1921||
Guangdong|1331|5||
Henan|1262|19|参考卫健委统计口径，部分县区与地级市合并|
Zhejiang|1174|0||
Anhui|986|6||
Jiangxi|934|1||
Hunan|1008|4||
Heilongjiang|470|12||
Sichuan|514|3||
Jiangsu|631|0||
Shandong|544|3||
Chongqing|555|5||
Beijing|393|4||
Fujian|293|0||
Hebei|306|4||
Guangxi|244|2||
Shanghai|333|2|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Shaanxi|242|0||
Yunnan|173|1||
Tianjin|128|3||
Hainan|163|4||
Guizhou|146|2||
Shanxi|131|0||
Liaoning|121|1||
Inner Mongolia|75|0||
Hong Kong|63|2||
Xinjiang|76|1||
Jilin|90|1||
Ningxia|71|0||
Gansu|91|2||
Taiwan|23|1||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|74282|2009||
