# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-14 12:05:15 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|51986|1318||
Guangdong|1261|2||
Henan|1184|11|参考卫健委统计口径，部分县区与地级市合并|
Zhejiang|1155|0||
Anhui|934|6||
Jiangxi|900|1||
Hunan|988|2||
Jiangsu|593|0||
Shandong|519|2||
Chongqing|529|4||
Heilongjiang|418|11||
Sichuan|463|1||
Beijing|372|3||
Shanghai|318|1|待明确地区治愈 32 例，治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|281|0||
Hebei|283|3||
Guangxi|226|2||
Shaanxi|230|0||
Yunnan|162|0||
Hainan|158|4||
Guizhou|140|1||
Tianjin|119|3||
Liaoning|117|1||
Shanxi|126|0||
Jilin|86|1||
Inner Mongolia|65|0||
Xinjiang|65|1||
Hong Kong|53|1||
Gansu|90|2||
Ningxia|67|0||
Taiwan|18|0||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|63935|1381||
