# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-11 10:39:10 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|31728|974||
Guangdong|1177|1||
Zhejiang|1117|0||
Henan|1105|7|参考卫健委统计口径，部分县区与地级市合并|
Hunan|912|1||
Anhui|860|4||
Jiangxi|804|1||
Jiangsu|515|0||
Shandong|486|1||
Chongqing|486|2||
Sichuan|417|1||
Heilongjiang|360|8||
Beijing|337|2||
Shanghai|302|1|治愈数据统一归属上海公卫临床中心，部分新增治愈暂无具体分区|
Fujian|267|0||
Hebei|239|2||
Shaanxi|219|0||
Guangxi|215|1||
Yunnan|149|0||
Hainan|142|3||
Shanxi|122|0||
Guizhou|118|1||
Liaoning|108|0||
Tianjin|100|2||
Gansu|86|2||
Jilin|81|1||
Inner Mongolia|58|0||
Xinjiang|55|0||
Ningxia|53|0||
Hong Kong|42|1||
Taiwan|18|0||
Qinghai|18|0||
Macau|10|0||
Tibet|1|0||
CHINA TOTAL|42707|1016||
