# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-02 11:13:01 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|9074|294|待明确地区：治愈 35|
Zhejiang|661|0||
Guangdong|604|0||
Henan|493|2|待明确地区：治愈 2|
Hunan|463|0||
Anhui|340|0||
Jiangxi|333|0|待明确地区治愈2例|
Chongqing|262|1||
Jiangsu|236|0||
Sichuan|231|1||
Shandong|225|0||
Beijing|183|1|待明确地区：死亡 1，治愈 5|
Shanghai|177|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Fujian|144|0||
Guangxi|111|0||
Hebei|104|1||
Shaanxi|101|0||
Heilongjiang|95|2||
Yunnan|93|0||
Liaoning|64|0||
Hainan|63|1|待明确地区：确诊 2|
Shanxi|56|0||
Tianjin|45|0||
Gansu|40|0||
Guizhou|38|0||
Ningxia|28|0||
Jilin|23|0||
Inner Mongolia|23|0||
Xinjiang|21|0||
Hong Kong|14|0||
Taiwan|10|0||
Qinghai|9|0||
Macau|7|0||
Tibet|1|0||
CHINA TOTAL|14372|304||
