# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-26 08:18:00 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|1053|52||
Henan|83|1||
Guangdong|78|0||
Zhejiang|62|0||
Chongqing|57|0||
Beijing|51|0||
Hunan|43|0||
Shanghai|40|0||
Shandong|39|0||
Anhui|39|0||
Jiangxi|36|0||
Guangxi|33|0||
Sichuan|28|0||
Hainan|19|0||
Fujian|18|0|福建地区新增疑似 20 例|
Jiangsu|18|0||
Liaoning|17|0||
Shaanxi|15|0||
Yunnan|11|0||
Tianjin|10|0||
Heilongjiang|9|1||
Shanxi|9|0||
Hebei|8|1||
Inner Mongolia|7|0||
Hong Kong|5|0||
Guizhou|4|0||
Jilin|4|0||
Gansu|4|0||
Ningxia|3|0||
Taiwan|3|0||
Xinjiang|3|0||
Macau|2|0||
Qinghai|1|0||
CHINA TOTAL|01053837862575143403939363328191818171511109987544433321|05210000000000000000001010000000000||
