# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-06 10:11:47 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|19665|549||
Zhejiang|954|0||
Guangdong|944|0||
Henan|851|2|参考卫健委统计口径，部分县区与地级市合并|
Hunan|711|0||
Anhui|591|0||
Jiangxi|548|0||
Chongqing|389|2||
Jiangsu|373|0||
Shandong|343|0||
Sichuan|321|1||
Shanghai|254|1||
Beijing|253|1||
Heilongjiang|227|3|待明确为：黑龙江省传染病防治院治愈患者2 例|
Fujian|205|0||
Guangxi|168|0||
Shaanxi|165|0||
Hebei|157|1||
Yunnan|128|0||
Hainan|99|1||
Liaoning|89|0||
Shanxi|81|0||
Tianjin|69|1|待明确地区 : 治愈 1|
Guizhou|64|1||
Gansu|62|0||
Jilin|54|0||
Inner Mongolia|42|0||
Ningxia|40|0||
Xinjiang|36|0||
Hong Kong|21|1||
Qinghai|18|0||
Taiwan|11|0||
Macau|10|0||
Tibet|1|0||
CHINA TOTAL|27944|564||
