# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-03 11:56:48 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|11177|350|待明确地区：治愈 1|
Zhejiang|724|0||
Guangdong|683|0||
Henan|566|2|待明确地区：治愈 6|
Hunan|521|0||
Anhui|408|0||
Jiangxi|391|0||
Chongqing|300|2||
Jiangsu|271|0||
Sichuan|254|1|待明确地区：治愈 1|
Shandong|246|0||
Shanghai|193|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|191|1|待明确地区：死亡 1，治愈 5|
Fujian|179|0||
Shaanxi|128|0||
Guangxi|127|0||
Heilongjiang|118|2||
Hebei|113|1||
Yunnan|105|0||
Liaoning|73|0||
Hainan|71|1||
Shanxi|66|0||
Tianjin|54|0|待明确地区 : 治愈 1|
Gansu|51|0||
Guizhou|46|0||
Inner Mongolia|34|0||
Ningxia|31|0||
Jilin|31|0||
Xinjiang|24|0||
Hong Kong|15|0||
Qinghai|13|0||
Taiwan|10|0||
Macau|8|0||
Tibet|1|0||
CHINA TOTAL|17223|361||
