# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-02-03 08:20:18 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|11177|350|待明确地区：治愈 1|
Zhejiang|661|0||
Guangdong|632|0||
Henan|493|2|待明确地区：治愈 2|
Hunan|463|0||
Anhui|340|0||
Jiangxi|333|0||
Chongqing|300|2||
Jiangsu|236|0||
Sichuan|231|1||
Shandong|230|0||
Shanghai|193|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
Beijing|191|1|待明确地区：死亡 1，治愈 5|
Fujian|159|0||
Guangxi|127|0||
Shaanxi|116|0||
Hebei|113|1||
Yunnan|105|0||
Heilongjiang|95|2||
Liaoning|70|0||
Shanxi|66|0||
Hainan|64|1||
Gansu|51|0||
Tianjin|48|0|待明确地区 : 治愈 1|
Guizhou|38|0||
Ningxia|28|0||
Inner Mongolia|27|0||
Jilin|23|0||
Xinjiang|21|0||
Hong Kong|15|0||
Qinghai|11|0|待明确地区：确诊 2|
Taiwan|10|0||
Macau|8|0||
Tibet|1|0||
CHINA TOTAL|16676|361||
