# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-28 11:01:00 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|2714|100||
Guangdong|188|0||
Zhejiang|173|0||
Henan|168|1||
Hunan|143|0||
Chongqing|132|0||
Anhui|106|0||
Sichuan|90|0||
Shandong|87|0||
Beijing|80|1||
Jiangxi|72|0||
Jiangsu|70|0||
Shanghai|66|1||
Fujian|59|0|福建地区新增疑似 20 例|
Guangxi|51|0||
Hainan|40|1||
Shaanxi|35|0||
Hebei|33|1||
Heilongjiang|30|1||
Liaoning|27|0||
Yunnan|26|0||
Tianjin|23|0||
Shanxi|20|0||
Gansu|19|0||
Inner Mongolia|13|0||
Ningxia|11|0||
Xinjiang|10|0||
Guizhou|9|0||
Jilin|8|0||
Hong Kong|8|0||
Macau|7|0||
Qinghai|6|0||
Taiwan|5|0||
CHINA TOTAL|4529|106||
