# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-03-22 14:10:25 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|67800|3144||
Hong Kong|273|4||
Taiwan|153|2||
Beijing|514|8|北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。|
Guangdong|1407|8|深圳：确诊病例含19例境外输入病例；广州：确诊病例含22例境外输入病例；中山：确诊病例含2例境外输入病例；东莞：确诊病例含1例境外输入病例；佛山：确诊病例含3例境外输入病例；梅州：确诊病例含1例境外输入病例；肇庆：确诊病例含1例境外输入病例；珠海：确诊病例含2例境外输入病例；揭阳：确诊病例含1例境外输入病例；湛江：确诊病例含2例境外输入病例。|
Shanghai|394|4|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Gansu|134|2||
Zhejiang|1237|1|2月10日通报核减的12例在浙江省治愈的外省病例，根据国家最新要求重新纳入累计病例。|
Fujian|307|1||
Macau|19|0|确诊病例中含2例境外输入病例|
Shandong|765|7||
Shaanxi|248|3||
Heilongjiang|484|13||
Sichuan|543|3|成都市包含境外输入病例 4例|
Hebei|319|6|唐山：确诊病例含1例境外输入病例|
Jiangsu|633|0|苏州：确诊病例中含1例境外输入病例；宿迁：确诊病例中含1例境外输入病例|
Guangxi|254|2||
Yunnan|176|2||
Liaoning|126|2||
Henan|1273|22||
Jiangxi|936|1|南昌：确诊病例中含1例境外输入病例|
Hainan|168|6||
Tianjin|137|3||
Hunan|1018|4||
Anhui|990|6||
Chongqing|576|6||
Guizhou|146|2|3 月 17 日贵阳市新增 1 例境外输入无症状感染者|
Shanxi|133|0||
Jilin|93|1||
Xinjiang|76|3||
Ningxia|75|0||
Inner Mongolia|75|1||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|81501|3267||
